image,bucket,passport,drivers_license,credit_card,badge,insurance_card,wristband,tax_doc,paper_form,vscode_code,terminal,stacktrace,git_diff,debugger,build_output,api_response,db_client,whiteboard,conference_room,desk_surface,lobby,printer,coffee_notebook,plants,factory_floor
adversarial_atm_keypad.jpg,adversarial,0.1423,0.1911,0.2956,0.0769,0.2755,0.3070,0.3159,0.3744,0.2378,0.1091,0.2458,0.0867,0.2741,0.1526,0.0886,0.1896,0.3488,0.0270,0.2933,-0.0345,0.5621,0.3328,0.0729,0.1714
adversarial_restaurant_menu.jpg,adversarial,-0.0230,0.0227,0.1268,0.0680,0.0519,0.0728,0.0135,0.0242,0.1107,0.1211,-0.0940,-0.0315,0.0111,-0.0867,0.1376,0.2329,0.0550,0.1599,-0.0047,0.1875,0.1128,0.1210,-0.0071,0.1177
adversarial_server_rack.jpg,adversarial,0.0351,0.0692,0.1329,0.1016,0.1616,0.1753,0.1043,0.0969,0.2757,0.2163,0.2453,0.2288,0.2278,0.2948,0.2729,0.2108,-0.0253,0.3002,0.3286,0.2824,0.4372,0.2383,0.1800,0.3247
adversarial_stock_chart_monitor.jpg,adversarial,-0.0419,0.0151,0.2262,0.0152,0.1916,0.1528,0.2112,0.1760,0.3272,0.1833,0.4272,0.2043,0.4253,0.1894,0.2051,0.3620,0.2296,0.1746,0.3905,0.1933,0.3440,0.2461,0.0290,0.2441
inrule_ambient_conference_room.jpg,inrule,-0.0100,0.0405,0.1016,-0.0024,0.0543,-0.0193,0.0442,0.0796,0.1677,0.1212,-0.0075,0.0481,0.0559,-0.0577,0.0137,0.2010,0.1897,0.5553,0.4256,0.4561,0.2013,0.1952,0.2792,0.3338
inrule_ambient_desk_coffee.jpg,inrule,0.1166,0.0223,0.0958,0.0341,0.0357,0.0484,0.0981,0.2028,0.1507,0.1037,0.1160,-0.0253,0.0487,-0.1299,0.0358,0.1452,0.1514,0.1152,0.2141,0.0333,0.2321,0.6371,0.1076,-0.0169
inrule_ambient_factory.jpg,inrule,0.0027,0.0351,0.0408,0.0390,0.0554,-0.0279,0.0328,0.0565,0.3254,0.2112,0.2073,0.2188,0.1768,0.3762,0.2025,0.1486,-0.0086,0.2247,0.2756,0.2181,0.3320,0.1585,0.1747,0.3281
inrule_ambient_whiteboard.jpg,inrule,0.1488,0.0803,0.1049,-0.0170,0.0896,0.0368,0.2006,0.3470,0.3415,0.1575,0.2589,0.1861,0.1846,0.2294,0.1532,0.1916,0.5080,0.0922,0.2981,0.1119,0.2476,0.2854,0.0792,0.0160
inrule_code_github_pr.png,inrule,0.0446,0.1864,0.1824,0.0097,0.1788,0.1363,0.2531,0.2638,0.3602,0.1547,0.3063,0.2099,0.1581,0.2242,0.2341,0.3327,0.1401,0.0082,0.0285,0.0242,0.1122,0.0085,-0.0469,0.0263
inrule_code_stacktrace.png,inrule,0.2200,0.1566,0.1556,-0.0570,0.1678,0.1304,0.3609,0.3658,0.5184,0.2347,0.3940,0.3546,0.1841,0.3469,0.3308,0.3863,0.2490,0.0068,0.1624,0.0191,0.1987,0.1304,0.0340,0.0050
inrule_code_terminal.jpg,inrule,0.0644,0.1376,0.1772,-0.0441,0.1345,0.0834,0.2166,0.2363,0.4985,0.3176,0.3901,0.3524,0.2448,0.3010,0.2983,0.3189,0.1722,0.0347,0.1056,0.0831,0.2022,0.0623,-0.0200,0.0313
inrule_code_vscode.png,inrule,0.0624,0.0461,0.0387,-0.0637,0.0784,0.1024,0.2080,0.2669,0.5147,0.2889,0.4179,0.4552,0.2947,0.4282,0.3153,0.3460,0.1774,0.0014,0.0887,0.0296,0.1613,0.0527,0.0004,0.0128
inrule_identifier_credit_card.jpg,inrule,0.1360,0.2349,0.4451,0.2315,0.3851,0.1494,0.3124,0.2297,0.1721,0.0041,-0.0622,0.1471,-0.1251,0.0757,0.1475,0.2466,0.1308,0.1560,0.1687,0.1551,0.1969,0.1824,0.0912,0.2524
