image,bucket,max_identifier,max_code,max_ambient,top_rule,top_anchor,top_cosine
adversarial_atm_keypad.jpg,adversarial,0.3744,0.2741,0.5621,ambient_office_imagery,printer,0.5621
adversarial_restaurant_menu.jpg,adversarial,0.1268,0.2329,0.1875,code_or_terminal_imagery,db_client,0.2329
adversarial_server_rack.jpg,adversarial,0.1753,0.2948,0.4372,ambient_office_imagery,printer,0.4372
adversarial_stock_chart_monitor.jpg,adversarial,0.2262,0.4272,0.3905,code_or_terminal_imagery,stacktrace,0.4272
inrule_ambient_conference_room.jpg,inrule,0.1016,0.2010,0.5553,ambient_office_imagery,conference_room,0.5553
inrule_ambient_desk_coffee.jpg,inrule,0.2028,0.1507,0.6371,ambient_office_imagery,coffee_notebook,0.6371
inrule_ambient_factory.jpg,inrule,0.0565,0.3762,0.3320,code_or_terminal_imagery,build_output,0.3762
inrule_ambient_whiteboard.jpg,inrule,0.3470,0.3415,0.5080,ambient_office_imagery,whiteboard,0.5080
inrule_code_github_pr.png,inrule,0.2638,0.3602,0.1401,code_or_terminal_imagery,vscode_code,0.3602
inrule_code_stacktrace.png,inrule,0.3658,0.5184,0.2490,code_or_terminal_imagery,vscode_code,0.5184
inrule_code_terminal.jpg,inrule,0.2363,0.4985,0.2022,code_or_terminal_imagery,vscode_code,0.4985
inrule_code_vscode.png,inrule,0.2669,0.5147,0.1774,code_or_terminal_imagery,vscode_code,0.5147
inrule_identifier_credit_card.jpg,inrule,0.4451,0.2466,0.2524,identifier_document_imagery,credit_card,0.4451
inrule_identifier_drivers_license.png,inrule,0.5672,0.1640,0.2282,identifier_document_imagery,drivers_license,0.5672
inrule_identifier_passport.jpg,inrule,0.6991,0.2371,0.2548,identifier_document_imagery,passport,0.6991
inrule_identifier_wristband.jpg,inrule,0.4924,0.2576,0.3047,identifier_document_imagery,wristband,0.4924
ood_beach.jpg,ood,-0.0217,0.0052,-0.0009,code_or_terminal_imagery,stacktrace,0.0052
ood_meal.jpg,ood,0.0276,0.1025,0.0518,code_or_terminal_imagery,db_client,0.1025
ood_pet.jpg,ood,0.1179,0.1889,0.1140,code_or_terminal_imagery,terminal,0.1889
ood_sports.jpg,ood,0.0141,0.0604,0.1098,ambient_office_imagery,whiteboard,0.1098
