image,bucket,passport,drivers_license,credit_card,badge,insurance_card,wristband,tax_doc,paper_form,vscode_code,terminal,stacktrace,git_diff,debugger,build_output,api_response,db_client,whiteboard,conference_room,desk_surface,lobby,printer,coffee_notebook,plants,factory_floor
adversarial_atm_keypad.jpg,adversarial,0.1810,0.2056,0.2564,0.0814,0.2299,0.2819,0.3108,0.3774,0.2869,0.1815,0.3084,0.1333,0.3240,0.1350,0.1270,0.2019,0.3244,0.0718,0.3103,0.0195,0.5404,0.3315,0.0855,0.1616
adversarial_restaurant_menu.jpg,adversarial,0.0125,0.0016,0.0860,0.0420,0.0380,0.0416,0.0345,0.0965,0.1863,0.1595,-0.0486,0.0419,0.0384,-0.0567,0.2043,0.2691,0.0893,0.2222,0.1008,0.2286,0.1522,0.1664,0.0966,0.1873
adversarial_server_rack.jpg,adversarial,0.0314,0.0450,0.1021,0.1010,0.1278,0.1490,0.0763,0.0849,0.3023,0.2356,0.2487,0.2628,0.2379,0.3116,0.2665,0.2405,0.0039,0.3226,0.3360,0.3085,0.4142,0.2479,0.1836,0.2990
adversarial_stock_chart_monitor.jpg,adversarial,-0.0087,0.0395,0.2194,0.0329,0.2068,0.1942,0.2229,0.2203,0.3426,0.1834,0.4462,0.2237,0.4030,0.1992,0.2328,0.3818,0.2361,0.1932,0.3954,0.1652,0.3511,0.2587,0.0515,0.2193
inrule_ambient_conference_room.jpg,inrule,0.0036,0.0650,0.1488,-0.0589,0.0379,-0.0068,0.0327,0.0265,0.0895,0.0822,-0.0100,-0.1468,0.0383,-0.1644,-0.0340,0.1468,0.2005,0.3878,0.3311,0.3434,0.1196,0.2235,0.1391,0.2789
inrule_ambient_desk_coffee.jpg,inrule,0.0781,0.0150,0.0727,0.0332,0.0163,-0.0134,0.0586,0.1240,0.1238,0.1290,0.0568,0.0165,0.0257,-0.0655,0.0568,0.1389,0.0358,0.1223,0.1809,0.0916,0.1672,0.6095,0.1169,-0.0425
inrule_ambient_factory.jpg,inrule,-0.0656,-0.0494,-0.0240,0.0129,-0.0350,-0.0032,-0.0285,0.0105,0.2382,0.1425,0.1635,0.1217,0.1761,0.3661,0.1362,0.0783,-0.0014,0.2676,0.3222,0.2817,0.3317,0.1855,0.1698,0.3983
inrule_ambient_whiteboard.jpg,inrule,0.1456,0.0792,0.1025,-0.0416,0.0707,0.0051,0.2121,0.3058,0.3416,0.1585,0.2728,0.1788,0.1341,0.2250,0.1846,0.2237,0.4014,0.0559,0.2487,0.0404,0.1920,0.2547,0.0573,-0.0088
inrule_code_github_pr.png,inrule,0.0648,0.2026,0.1659,0.0757,0.1811,0.1246,0.2499,0.2584,0.3369,0.1408,0.2466,0.2078,0.1278,0.2110,0.1950,0.3255,0.1273,0.0036,-0.0210,-0.0147,0.0983,-0.0341,-0.0328,-0.0164
inrule_code_stacktrace.png,inrule,0.1858,0.1261,0.1463,-0.0820,0.1627,0.1349,0.3282,0.3856,0.5286,0.2337,0.4211,0.3708,0.2430,0.3589,0.3098,0.3410,0.2652,-0.0453,0.1142,-0.0184,0.1798,0.1064,-0.0205,-0.0727
inrule_code_terminal.jpg,inrule,0.0696,0.1555,0.1874,-0.0444,0.1478,0.0953,0.2178,0.2124,0.4772,0.2892,0.3842,0.3216,0.2395,0.2962,0.2659,0.3104,0.1807,0.0224,0.1050,0.0630,0.1820,0.0613,-0.0414,0.0171
inrule_code_vscode.png,inrule,0.0941,0.0706,0.0645,-0.0593,0.0837,0.0699,0.2450,0.3063,0.5691,0.3285,0.4485,0.4814,0.3322,0.4599,0.3592,0.4068,0.2035,0.0376,0.1549,0.0322,0.2220,0.1003,0.0079,0.0174
inrule_identifier_credit_card.jpg,inrule,0.2319,0.2922,0.3836,0.2851,0.3411,0.1551,0.2986,0.2127,0.0964,-0.0288,-0.0936,0.1132,-0.2013,-0.0177,0.1416,0.2242,0.1059,0.1632,0.0744,0.1026,0.1349,0.2306,0.0950,0.1705
inrule_identifier_drivers_license.png,inrule,0.2786,0.5469,0.2852,0.2384,0.3023,0.1692,0.3684,0.2451,0.0588,0.0624,0.0404,0.0264,0.0278,-0.0149,0.0831,0.1355,0.1403,-0.0063,0.0366,-0.0409,0.1939,0.1701,-0.0258,0.0543
inrule_identifier_passport.jpg,inrule,0.6843,0.4977,0.2482,0.3407,0.3194,0.2278,0.5177,0.4729,0.1726,0.1122,0.1830,0.2099,-0.0688,-0.0585,0.2618,0.2739,0.1104,0.1296,0.0095,0.0553,0.1527,0.2088,0.0651,-0.0136
inrule_identifier_wristband.jpg,inrule,0.4011,0.3112,0.2771,0.2320,0.3756,0.2708,0.4719,0.5367,0.1998,0.0825,0.2644,0.2909,0.0620,-0.0197,0.2008,0.2060,0.2581,0.2076,0.2106,0.1357,0.3753,0.2477,0.2457,0.3051
ood_beach.jpg,ood,-0.0204,-0.1459,-0.0982,-0.1441,-0.0965,-0.1005,-0.1312,-0.0713,-0.0722,-0.1498,0.0282,-0.1455,-0.0535,-0.0292,-0.1301,-0.0907,-0.0373,-0.1254,-0.1593,-0.2166,-0.1371,-0.2173,-0.2454,-0.1656
ood_meal.jpg,ood,-0.1377,-0.1028,-0.0723,-0.0877,-0.0634,-0.0913,-0.0830,-0.0593,0.0102,0.0508,-0.1606,-0.0367,-0.0560,0.0302,0.0575,0.0143,-0.0869,-0.0009,-0.0163,0.0219,0.0073,0.0128,0.0232,0.0048
ood_pet.jpg,ood,0.0578,0.1082,0.1404,0.0314,0.1558,0.0658,0.1510,0.1491,0.1183,0.1786,0.1089,0.0866,0.0028,0.0011,0.0787,0.0775,0.1619,-0.0015,0.1392,0.0558,0.1027,0.1497,0.0373,0.0414
