image,bucket,max_identifier,max_code,max_ambient,top_rule,top_anchor,top_cosine
adversarial_atm_keypad.jpg,adversarial,0.3774,0.3240,0.5404,ambient_office_imagery,printer,0.5404
adversarial_restaurant_menu.jpg,adversarial,0.0965,0.2691,0.2286,code_or_terminal_imagery,db_client,0.2691
adversarial_server_rack.jpg,adversarial,0.1490,0.3116,0.4142,ambient_office_imagery,printer,0.4142
adversarial_stock_chart_monitor.jpg,adversarial,0.2229,0.4462,0.3954,code_or_terminal_imagery,stacktrace,0.4462
inrule_ambient_conference_room.jpg,inrule,0.1488,0.1468,0.3878,ambient_office_imagery,conference_room,0.3878
inrule_ambient_desk_coffee.jpg,inrule,0.1240,0.1389,0.6095,ambient_office_imagery,coffee_notebook,0.6095
inrule_ambient_factory.jpg,inrule,0.0129,0.3661,0.3983,ambient_office_imagery,factory_floor,0.3983
inrule_ambient_whiteboard.jpg,inrule,0.3058,0.3416,0.4014,ambient_office_imagery,whiteboard,0.4014
inrule_code_github_pr.png,inrule,0.2584,0.3369,0.1273,code_or_terminal_imagery,vscode_code,0.3369
inrule_code_stacktrace.png,inrule,0.3856,0.5286,0.2652,code_or_terminal_imagery,vscode_code,0.5286
inrule_code_terminal.jpg,inrule,0.2178,0.4772,0.1820,code_or_terminal_imagery,vscode_code,0.4772
inrule_code_vscode.png,inrule,0.3063,0.5691,0.2220,code_or_terminal_imagery,vscode_code,0.5691
inrule_identifier_credit_card.jpg,inrule,0.3836,0.2242,0.2306,identifier_document_imagery,credit_card,0.3836
inrule_identifier_drivers_license.png,inrule,0.5469,0.1355,0.1939,identifier_document_imagery,drivers_license,0.5469
inrule_identifier_passport.jpg,inrule,0.6843,0.2739,0.2088,identifier_document_imagery,passport,0.6843
inrule_identifier_wristband.jpg,inrule,0.5367,0.2909,0.3753,identifier_document_imagery,paper_form,0.5367
ood_beach.jpg,ood,-0.0204,0.0282,-0.0373,code_or_terminal_imagery,stacktrace,0.0282
ood_meal.jpg,ood,-0.0593,0.0575,0.0232,code_or_terminal_imagery,api_response,0.0575
ood_pet.jpg,ood,0.1558,0.1786,0.1619,code_or_terminal_imagery,terminal,0.1786
ood_sports.jpg,ood,0.0596,0.0323,0.1546,ambient_office_imagery,whiteboard,0.1546
