image,bucket,passport,drivers_license,credit_card,badge,insurance_card,wristband,tax_doc,paper_form,vscode_code,terminal,stacktrace,git_diff,debugger,build_output,api_response,db_client,whiteboard,conference_room,desk_surface,lobby,printer,coffee_notebook,plants,factory_floor
adversarial_atm_keypad.jpg,adversarial,0.1347,0.1814,0.2817,0.0604,0.2634,0.3047,0.3072,0.3678,0.2382,0.1100,0.2466,0.0857,0.2759,0.1483,0.0923,0.1879,0.3532,0.0339,0.2904,-0.0292,0.5527,0.3294,0.0763,0.1761
adversarial_restaurant_menu.jpg,adversarial,-0.0100,0.0320,0.1357,0.0721,0.0693,0.0874,0.0262,0.0454,0.1263,0.1191,-0.0884,-0.0365,0.0278,-0.0846,0.1422,0.2394,0.0847,0.1774,0.0164,0.1969,0.1286,0.1387,-0.0036,0.1225
adversarial_server_rack.jpg,adversarial,0.0433,0.0738,0.1412,0.0978,0.1703,0.1632,0.1125,0.1196,0.2944,0.2256,0.2521,0.2347,0.2132,0.2962,0.2856,0.2183,-0.0071,0.2991,0.3411,0.2800,0.4505,0.2499,0.1948,0.3434
adversarial_stock_chart_monitor.jpg,adversarial,-0.0469,0.0137,0.2283,0.0139,0.1860,0.1407,0.2127,0.1698,0.3254,0.1743,0.4266,0.2047,0.4216,0.2034,0.2013,0.3571,0.2226,0.1602,0.3772,0.1914,0.3426,0.2323,0.0272,0.2591
inrule_ambient_conference_room.jpg,inrule,-0.0133,0.0452,0.1115,-0.0193,0.0505,-0.0288,0.0378,0.0673,0.1573,0.1257,-0.0078,0.0284,0.0568,-0.0676,0.0053,0.1931,0.1935,0.5358,0.4156,0.4566,0.1843,0.1898,0.2672,0.3297
inrule_ambient_desk_coffee.jpg,inrule,0.1262,0.0238,0.0949,0.0404,0.0382,0.0623,0.1039,0.2059,0.1382,0.1010,0.1219,-0.0338,0.0496,-0.1447,0.0354,0.1335,0.1576,0.1189,0.2125,0.0233,0.2237,0.6404,0.1004,-0.0207
inrule_ambient_factory.jpg,inrule,0.0141,0.0365,0.0507,0.0393,0.0758,-0.0081,0.0353,0.0643,0.3296,0.2218,0.2265,0.2191,0.1964,0.3719,0.2141,0.1621,0.0030,0.2460,0.2952,0.2283,0.3407,0.1716,0.1666,0.3403
inrule_ambient_whiteboard.jpg,inrule,0.1232,0.0543,0.0969,-0.0315,0.0718,0.0203,0.1628,0.3144,0.3165,0.1468,0.2296,0.1570,0.1689,0.1929,0.1137,0.1461,0.4960,0.0858,0.2724,0.1136,0.2127,0.2787,0.0627,-0.0034
inrule_code_github_pr.png,inrule,0.0389,0.1368,0.1302,-0.0277,0.1323,0.0790,0.2439,0.2662,0.4244,0.2070,0.3436,0.2777,0.1752,0.2831,0.2859,0.3317,0.1388,-0.0080,0.0371,0.0268,0.1016,0.0252,-0.0329,0.0162
inrule_code_stacktrace.png,inrule,0.1953,0.1480,0.1721,-0.0575,0.1761,0.1331,0.3505,0.3536,0.5077,0.2284,0.3649,0.3314,0.1651,0.3396,0.3027,0.3699,0.2491,0.0028,0.1636,0.0250,0.2064,0.1228,0.0389,0.0014
inrule_code_terminal.jpg,inrule,0.0837,0.1527,0.1862,-0.0291,0.1531,0.1064,0.2390,0.2584,0.5001,0.3224,0.4034,0.3527,0.2477,0.2973,0.3153,0.3393,0.1859,0.0343,0.1002,0.0721,0.1955,0.0641,-0.0361,0.0298
inrule_code_vscode.png,inrule,0.0559,0.0604,0.0731,-0.0877,0.0917,0.0637,0.2285,0.2781,0.5551,0.3008,0.4203,0.4737,0.2899,0.4430,0.3373,0.3631,0.1886,0.0255,0.1406,0.0387,0.1754,0.0792,0.0410,0.0476
inrule_identifier_credit_card.jpg,inrule,0.1149,0.2244,0.4469,0.2364,0.3849,0.1482,0.3081,0.2257,0.1759,0.0162,-0.0601,0.1657,-0.1169,0.0806,0.1447,0.2538,0.1183,0.1603,0.1708,0.1645,0.2035,0.1789,0.1027,0.2620
inrule_identifier_drivers_license.png,inrule,0.3035,0.5782,0.3694,0.2648,0.3500,0.2030,0.3867,0.2653,0.0652,0.0690,0.0019,0.0118,-0.0137,-0.0468,0.0657,0.1714,0.1767,0.0273,0.0504,0.0093,0.2034,0.2308,-0.0139,0.0733
inrule_identifier_passport.jpg,inrule,0.7044,0.5563,0.2916,0.3486,0.3662,0.2698,0.5475,0.4412,0.1378,0.1120,0.1767,0.1433,-0.0341,-0.0660,0.2364,0.2247,0.1297,0.1142,0.0401,0.0702,0.1577,0.2678,0.0672,0.0113
inrule_identifier_wristband.jpg,inrule,0.3369,0.3592,0.3127,0.2135,0.4110,0.4965,0.4493,0.4627,0.2232,0.0618,0.2759,0.2447,0.1353,0.0072,0.2332,0.2291,0.2328,0.1501,0.0872,0.0526,0.3008,0.1157,0.0727,0.2318
ood_beach.jpg,ood,-0.0257,-0.1379,-0.0576,-0.1500,-0.0908,-0.0905,-0.1351,-0.0277,-0.0386,-0.0758,0.0059,-0.1253,-0.0668,-0.0254,-0.1044,-0.0576,-0.0041,-0.0459,-0.1419,-0.1205,-0.1121,-0.2045,-0.2206,-0.1200
